;eid;doi;pii;pubmed_id;title;subtype;subtypeDescription;creator;afid;affilname;affiliation_city;affiliation_country;author_count;author_names;author_ids;author_afids;coverDate;coverDisplayDate;publicationName;issn;source_id;eIssn;aggregationType;volume;issueIdentifier;article_number;pageRange;description;authkeywords;citedby_count;openaccess;freetoread;freetoreadLabel;fund_acr;fund_no;fund_sponsor
0;2-s2.0-85145503993;10.3389/fnut.2022.978971;;;Comparison of body fat percentage assessments by bioelectrical impedance analysis, anthropometrical prediction equations, and dual-energy X-ray absorptiometry in older women;ar;Article;Velázquez-Alva M.C.;"60108388;60033284;60029824;60014923;60001171";"Instituto Nacional de Geriatría;Universidad de Sevilla;Universidad Nacional Autónoma de México, Facultad de Estudios Superiores Zaragoza;Universidad Autónoma Metropolitana;Universidad de Salamanca, Facultad de Medicina";"Mexico City;Sevilla;Mexico City;Mexico City;Salamanca";"Mexico;Spain;Mexico;Mexico;Spain";9;"Velázquez-Alva, María Consuelo;Irigoyen-Camacho, María Esther;Zepeda-Zepeda, Marco Antonio;Rangel-Castillo, Itzam;Arrieta-Cruz, Isabel;Mendoza-Garcés, Luciano;Castaño-Seiquer, Antonio;Flores-Fraile, Javier;Gutiérrez-Juárez, Roger";"24759448600;6603265505;6505940652;58041450800;16309102300;6504251356;56023869500;57214123731;6506367383";"60014923;60014923;60014923;60014923;60108388;60108388;60033284;60001171;60029824";2022-12-21;21 December 2022;Frontiers in Nutrition;;21100913479;2296861X;Journal;9;;978971;;"Background: Individuals with high body fat have a higher risk of mortality. Numerous anthropometric-based predictive equations are available for body composition assessments; furthermore, bioelectrical impedance analysis (BIA) estimates are available. However, in older adults, the validity of body fat estimates requires further investigation. Objective: To assess the agreement between percentage body fat (BF%) estimates by BIA and five predictive equations based on anthropometric characteristics using dual X-ray absorptiometry (DXA) as reference method. A secondary objective was to identify whether excluding short-stature women improves the agreement of BF% estimates in a group of community-dwelling, older Mexican women. Methods: A concordance analysis of BF% was performed. A total of 121 older women participated in the study. Anthropometric information, BIA, and DXA body composition estimates were obtained. Five equations using anthropometric data were evaluated in order to determine body fat percentage (BF%) using DXA as reference method. Paired t-test comparisons and standard error of estimates (SEE) were obtained. The Bland-Altman plot with 95% limits of agreement and the concordance correlation coefficient (CCC) were used to evaluate the BF% prediction equations and BIA estimates. Results: The mean age of the study participants was 73.7 (±5.8) years old. BIA and the anthropometric based equations examined showed mean significant differences when tested in the entire sample. For the taller women (height > 145 cm), no significant difference in the paired comparison was found between DXA and BIA of BF% estimates. The mean BF% was 40.3 (±4.8) and 40.7 (±6.2) for DXA and BIA, respectively. The concordance between methods was good (CCC 0.814), (SEE 2.62). Also, in the taller women subset, the Woolcott equation using waist-to-height ratio presented no significant difference in the paired comparison; however, the error of the estimates was high (SEE 3.37) and the concordance was moderate (CCC 0.693). Conclusion: This study found that BIA yielded good results in the estimation of BF% among women with heights over 145 cm. Also, in this group, the Woolcott predictive equation based on waist circumference and height ratio showed no significant differences compared to DXA in the paired comparison; however, the large error of estimates observed may limit its application. In older women, short stature may impact the validity of the body fat percentage estimates of anthropometric-based predictive equations.";aging | anthropometric | bioelectrical impedance | body fat | DXA (dual X-ray absorptiometry) | validation studies;0;1;publisherfullgold;Gold;;undefined;
1;2-s2.0-85145225744;10.1186/s13568-022-01486-8;;;Effect of the initial pH on the anaerobic digestion process of dairy cattle manure;ar;Article;Castro-Ramos J.J.;"60019176;60010210";"Instituto Politécnico Nacional;Universidad Autónoma Metropolitana Unidad Xochimilco";"Mexico City;Mexico City";"Mexico;Mexico";6;"Castro-Ramos, Job Jonathan;Solís-Oba, Aida;Solís-Oba, Myrna;Calderón-Vázquez, Carlos Ligne;Higuera-Rubio, Jesús Mireya;Castro-Rivera, Rigoberto";"58036824500;55519878000;8373985300;24490718200;57732032700;57218516841";"60019176;60010210;60019176;60019176;60019176;60019176";2022-12-01;December 2022;AMB Express;;21100198481;21910855;Journal;12;1;162;;Anaerobic digestion (AD) has recently been studied to obtain products of greater interest than biogas, such as volatile fatty acids (VFAs) and phytoregulators. The effect of the initial pH of cow manure and the fermentation time of the AD on the microbial composition, VFAs, indole-3-acetic acid (IAA) and gibberellic acid (GA3) production was evaluated. The cow manure (7% solids) was adjusted to initial pH values of 5.5, 6.5, 7.5, and 8.5, and the AD products were analyzed every four days until day 20. The initial pH and the fermentation time had an important effect on the production of metabolites. During AD, only the hydrolytic and acidogenic stages were identified, and the bacteria found were from the phyla Firmicutes, Bacteroidetes, Actinobacteria, and Spirochaetes. The most abundant genera produced in the four AD were Caproiciproducens, Clostridium sensu stricto 1, Romboutsia, Paeniclostridium, Turicibacter, Peptostreptococcaceae, Ruminococcaceae and Fonticella. The highest amount of VFAs was obtained at pH 8.5, and the production of the acids was butyric > acetic > propionic. The maximum production of GA3 and IAA was at an initial pH of 6.5 on day 20 and a pH of 5.5 on day 4, respectively. There was a strong correlation (> 0.8) between the most abundant microorganisms and the production of VFAs and GA3. The anaerobic digestion of cow manure is a good alternative for the production of VFAs, GA3 and IAA.;Anaerobic digestion | Cow manure | Gibberellic acid | Indole-3-acetic acid | Volatile fatty acids;0;1;repositoryvor;Green;CONACYT;2096;Consejo Nacional de Ciencia y Tecnología
2;2-s2.0-85144690866;10.3390/ani12243558;;;Thermal Imaging to Assess the Health Status in Wildlife Animals under Human Care: Limitations and Perspectives;re;Review;Mota-Rojas D.;"60172565;60031031;60029257;60019607;60014923";"Facultad de Estudios Superiores Cuautitlán;Shandong University;University of Évora;Universidad Autónoma de Tamaulipas;Universidad Autónoma Metropolitana";"Cuautitlan Izcalli;Jinan;Evora;Ciudad Victoria;Mexico City";"Mexico;China;Portugal;Mexico;Mexico";9;"Mota-Rojas, Daniel;Pereira, Alfredo M.F.;Martínez-Burnes, Julio;Domínguez-Oliva, Adriana;Mora-Medina, Patricia;Casas-Alvarado, Alejandro;Rios-Sandoval, Jennifer;de Mira Geraldo, Ana;Wang, Dehua";"6506739367;36894305700;6603432183;57223116454;54383862300;57216196260;58029491900;57403514200;57850285500";"60014923;60029257;60019607;60014923;60172565;60014923;60014923;60029257;60031031";2022-12-01;December 2022;Animals;;21100244850;20762615;Journal;12;24;3558;;Promoting animal welfare in wildlife species under human care requires the implementation of techniques for continuously monitoring their health. Infrared thermography is a non-invasive tool that uses the radiation emitted from the skin of animals to assess their thermal state. However, there are no established thermal windows in wildlife species because factors such as the thickness or color of the skin, type/length of coat, or presence of fur can influence the readings taken to obtain objective, sensitive values. Therefore, this review aims to discuss the usefulness and application of the ocular, nasal, thoracic, abdominal, and podal anatomical regions as thermal windows for evaluating zoo animals’ thermal response and health status. A literature search of the Web of Science, Science Direct, and PubMed databases was performed to identify relevant studies that used IRT with wild species as a complementary diagnostic tool. Implementing IRT in zoos or conservation centers could also serve as a method for determining and monitoring optimal habitat designs to meet the needs of specific animals. In addition, we analyze the limitations of using IRT with various wildlife species under human care to understand better the differences among animals and the factors that must be considered when using infrared thermography.;infrared thermography | pain | thermal status | thermal window;0;1;repositoryvor;Green;;undefined;
3;2-s2.0-85144673445;10.3390/beverages8040080;;;Consumer Studies: Beyond Acceptability—A Case Study with Beer;re;Review;Hernández-Mora Y.N.;60014923;Universidad Autónoma Metropolitana;Mexico City;Mexico;4;"Hernández-Mora, Yareth N.;Verde-Calvo, José R.;Malpica-Sánchez, Frida P.;Escalona-Buendía, Héctor B.";"58029972500;9740356900;58029635800;57194437346";"60014923;60014923;60014923;60014923";2022-12-01;December 2022;Beverages;;21101019776;23065710;Journal;8;4;80;;"Beer is one of the most consumed alcoholic beverages in the world; its consumption and preference are evolving from traditional industrial beers of low complexity to novel craft beers with diverse flavour profiles. In such a competitive industry and considering the complexity of consumer behaviour, improvement and innovation become necessary. Consequently, consumer science, which is responsible for identifying the motivation behind customer preferences through their attitudes, perception and behaviour, has implemented strategies ranging from simple hedonic measurements to several innovative and emerging methodologies for a deeper understanding of the variables that affect the product experience: sensory, affective and cognitive. In this context, we offer a review inspired by previous research that explores some of the quantitative and qualitative methods used in consumer studies related to beer consumption, ranging from traditional approaches (acceptability, purchase intention, preference, etc.) to techniques that go beyond acceptability and allow a different understanding of aspects of consumer perception and behaviour (segmentation, expectations, emotions, representation, etc.). Also, innovative applications (contexts, immersive technologies and virtual reality, implicit measures, etc.) and current trends related to consumer science (Internet, social media, pairing, product experience, etc.) are addressed.";beer | beyond acceptability | consumer studies | new technologies | perception | product experience | qualitative studies | quantitative studies | representation;0;1;publisherfullgold;Gold;;undefined;
4;2-s2.0-85144664653;10.3390/microorganisms10122352;;;Analysis of the Propionate Metabolism in Bacillus subtilis during 3-Indolacetic Production;ar;Article;Castillo-Alfonso F.;"60031335;60024080";"Universidad Autonoma de San Luis Potosi;Universidad Autónoma Metropolitana Unidad Cuajimalpa";"San Luis Potosí;Mexico City";"Mexico;Mexico";6;"Castillo-Alfonso, Freddy;Quintana-Menéndez, Alejandro;Vigueras-Ramírez, Gabriel;Sales-Cruz, Alfonso Mauricio;Rosales-Colunga, Luis Manuel;Olivares-Hernández, Roberto";"57221232859;58030400200;57552514300;58030068300;23111632400;36158611900";"60024080;60024080;60024080;60024080;60031335;60024080";2022-12-01;December 2022;Microorganisms;;21100933947;20762607;Journal;10;12;2352;;"The genera Bacillus belongs to the group of microorganisms that are known as plant growth-promoting bacteria, their metabolism has evolved to produce molecules that benefit the growth of the plant, and the production of 3-indole acetic acid (IAA) is part of its secondary metabolism. In this work, Bacillus subtilis was cultivated in a bioreactor to produce IAA using propionate and glucose as carbon sources in an M9-modified media; in both cases, tryptophan was added as a co-substrate. The yield of IAA using propionate is 17% higher compared to glucose. After 48 h of cultivation, the final concentration was 310 mg IAA/L using propionate and 230 mg IAA/L using glucose, with a concentration of 500 mg Trp/L. To gain more insight into propionate metabolism and its advantages, the genome-scale metabolic model of B. subtilis (iBSU 1147) and computational analysis were used to calculate flux distribution and evaluate the metabolic capabilities to produce IAA using propionate. The metabolic fluxes demonstrate that propionate uptake favors the production of precursors needed for the synthesis of the hormone, and the sensitivity analysis shows that the control of a specific growth rate has a positive impact on the production of IAA.";3-indole acetic acid | Bacillus subtilis | flux balance analysis | propionate metabolism;0;1;repositoryvor;Green;CONACYT;A1-S-30750;Consejo Nacional de Ciencia y Tecnología
5;2-s2.0-85144652255;10.3390/ani12243536;;;Is the Weight of the Newborn Puppy Related to Its Thermal Balance?;ar;Article;Lezama-García K.;"60172565;60084250;60029738;60029257;60028868;60019607;60014923;60010210;112377375";"Facultad de Estudios Superiores Cuautitlán;Instituto Nacional de Rehabilitación;Queen's University Belfast;University of Évora;Università di Pisa;Universidad Autónoma de Tamaulipas;Universidad Autónoma Metropolitana;Universidad Autónoma Metropolitana Unidad Xochimilco;Research Institute in Semiochemistry and Applied Ethology (IRSEA)";"Cuautitlan Izcalli;Ciudad de México;Belfast;Evora;Pisa;Ciudad Victoria;Mexico City;Mexico City;Apt";"Mexico;Mexico;United Kingdom;Portugal;Italy;Mexico;Mexico;Mexico;France";13;"Lezama-García, Karina;Martínez-Burnes, Julio;Marcet-Rius, Míriam;Gazzano, Angelo;Olmos-Hernández, Adriana;Mora-Medina, Patricia;Domínguez-Oliva, Adriana;Pereira, Alfredo M.F.;Hernández-Ávalos, Ismael;Baqueiro-Espinosa, Uri;Geraldo, Ana de Mira;Casas-Alvarado, Alejandro;Mota-Rojas, Daniel";"57210803993;6603432183;57200676001;9636886300;57208824733;54383862300;57223116454;36894305700;57214934466;57611603400;58029512000;57216196260;6506739367";"60014923;60019607;112377375;60028868;60084250;60172565;60010210;60029257;60172565;60029738;60029257;60010210;60010210";2022-12-01;December 2022;Animals;;21100244850;20762615;Journal;12;24;3536;;Hypothermia, a factor associated with neonatal mortality, can occur immediately after birth as a protective mechanism to prevent hypoxic damage in neonates, or to reduce the metabolic rate to improve the chances of survival in the first hours of life. The heat interchange through the superficial temperature of animals can be evaluated with infrared thermography (IRT). However, to date, there is no information on thermal windows in puppies. This study aimed to evaluate, with the use of IRT, the microcirculatory alterations in 8 different thermal windows identified at 7 different times in 289 newborn puppies assigned to different groups. Three thermograms were taken from four zones of each puppy: the facial, frontal, right lateral, and left lateral regions. Newborn puppies were grouped in 4 quartiles according to their weight: Q1 (126–226 g) n = 73, Q2 (227–330 g) n = 72, Q3 (331–387 g) n = 74, and Q4 (388–452 g) n = 70. A total of 8 thermal windows were considered at 7 evaluation times from Wet at birth until 24 h after birth (AB). Two-way mixed ANOVA within and between subjects’ design for each thermal window (eight models) was performed. Results revealed a positive correlation between the puppy’s weight and its ability to achieve thermostability in all the evaluated thermal windows. Statistically significant differences (p < 0.0001) between the 4 quartiles (Q1, Q2, Q3, and Q4) were found. The lowest temperatures were recorded when the pups were still wet and the highest at 24 h AB. Thermal windows with the highest temperatures were abdominal (34.234 ± 0.056 °C), thoracic (33.705 ± 0.049 °C), nasal (30.671 ± 0.110 °C), and upper left palpebral (34.066 ± 0.052 °C), while the lowest were thoracic limb brachial biceps (27.534 ± 0.051 °C), thoracic limb elbow (27.141 ± 0.049 °C), thoracic limb metacarpal (27.024 ± 0.062 °C), and femoral pelvic limb (27.654 ± 0.055 °C). Assessing the thermal response in newborn puppies can help identify drastic temperature reductions or deficient thermoregulatory compensation during the first hours of life, preventing the consequences of hypothermia.;animal perinatology | dogs | infrared thermography | newborn puppy | puppy welfare | thermoregulation;0;1;repositoryvor;Green;;undefined;
6;2-s2.0-85143681927;10.3390/cells11233819;;36497079;Pregestational Exposure to T. gondii Produces Maternal Antibodies That Recognize Fetal Brain Mimotopes and Induces Neurochemical and Behavioral Dysfunction in the Offspring;ar;Article;Romero Núñez E.;"60032442;60028381;60014923;60013839;60000029;128960727";"Universidad Nacional Autónoma de México;Universidad Autónoma Metropolitana -Unidad Iztapalapa;Universidad Autónoma Metropolitana;Secretaria de Salud;Instituto Nacional de Neurología y Neurocirugía;Center for Research and Advanced Studies (Cinvestav)";"Ciudad de México;Iztapalapa;Mexico City;Mexico City;Tlalpan;México City";"Mexico;Mexico;Mexico;Mexico;Mexico;Mexico";15;"Romero Núñez, Eunice;Blanco Ayala, Tonali;Vázquez Cervantes, Gustavo Ignacio;Roldán-Roldán, Gabriel;González Esquivel, Dinora Fabiola;Muñiz-Hernández, Saé;Salazar, Alelí;Méndez Armenta, Maricela;Gómez-Manzo, Saúl;González-Conchillos, Hugo;Luna-Nophal, Angélica;Acosta Ramírez, Alma Patrica;Pineda, Benjamín;Jiménez-Anguiano, Anabel;Pérez de la Cruz, Verónica";"21834786700;53663314400;55293688500;6506501673;6602742023;25722194100;57843098200;55989805400;56002695900;57231558300;56820250400;57999143100;6602946227;55989715600;57211536347";"60028381-60000029;60000029;60000029;60032442;60000029;60013839;60000029;60000029;60013839;128960727;60028381-60013839;60000029;60000029;60014923;60000029";2022-12-01;December 2022;Cells;;21100978391;20734409;Journal;11;23;3819;;The activation of the maternal immune system by a prenatal infection is considered a risk factor for developing psychiatric disorders in the offspring. Toxoplasma gondii is one of the pathogenic infections associated with schizophrenia. Recent studies have shown an association between high levels of IgG anti-T. gondii from mothers and their neonates, with a higher risk of developing schizophrenia. The absence of the parasite and the levels of IgGs found in the early stages of life suggest a transplacental transfer of the anti-T. gondii IgG antibodies, which could bind fetal brain structures by molecular mimicry and induce alterations in neurodevelopment. This study aimed to determine the maternal pathogenic antibodies formation that led to behavioral impairment on the progeny of rats immunized with T. gondii. Female rats were immunized prior to gestation with T. gondii lysate (3 times/once per week). The anti-T. gondii IgG levels were determined in the serum of pregestational exposed females’ previous mating. After this, locomotor activity, cognitive and social tests were performed. Cortical neurotransmitter levels for dopamine and glutamate were evaluated at 60 PND in the progeny of rats immunized before gestation (Pregestational group). The maternal pathogenic antibodies were evidenced by their binding to fetal brain mimotopes in the Pregestational group and the reactivity of the serum containing anti-T. gondii IgG was tested in control fetal brains (non-immunized). These results showed that the Pregestational group presented impairment in short and long-term memory, hypoactivity and alteration in social behavior, which was also associated with a decrease in cortical glutamate and dopamine levels. We also found the IgG antibodies bound to brain mimotopes in fetuses from females immunized with T. gondii, as well as observing a strong reactivity of the serum females immunized for fetal brain structures of fetuses from unimmunized mothers. Our results suggest that the exposure to T. gondii before gestation produced maternal pathogenic antibodies that can recognize fetal brain mimotopes and lead to neurochemical and behavioral alterations in the offspring.;cognitive impairment | molecular mimicry | schizophrenia | social alterations | T. gondii;0;1;repositoryvor;Green;CONACYT;320520;Consejo Nacional de Ciencia y Tecnología
7;2-s2.0-85143667114;10.3390/molecules27238507;;36500599;Recovery of Naringin-Rich Flavonoid Extracts from Agroresidues with Anxiolytic- and Antidepressant-like Effects in Mice;ar;Article;Hernández-Vázquez L.;"60019176;60010210;60001818";"Instituto Politécnico Nacional;Universidad Autónoma Metropolitana Unidad Xochimilco;Instituto Nacional de Psiquiatría Ramon de la Fuente";"Mexico City;Mexico City;Mexico City";"Mexico;Mexico;Mexico";8;"Hernández-Vázquez, Liliana;Cassani, Julia;Heyerdahl-Viau, Ivo;Martínez-Casares, Rubria M.;Luna, Héctor;Dorantes-Barrón, Ana María;Arrieta-Báez, Daniel;Estrada-Reyes, Rosa";"24764531000;56000930400;58000315700;57193412252;7003868746;56046093500;7801374716;56000843000";"60010210;60010210;60010210;60010210;60010210;60001818;60019176;60001818";2022-12-01;December 2022;Molecules;;26370;14203049;Journal;27;23;8507;;Citrus paradisi species belong to the Rutaceae family, and it is commonly known as grapefruit. Grapefruit consumption involves a large amount of waste that goes to landfills and produces significant pollution affecting the human health. To examine this phenomenon, we designed an efficient chemical method that recovers naringin-rich flavonoid extracts from the fresh waste of grapefruits, by using the solvent impregnation resin method (SIR) with XAD-4 amberlite and either methanol or water as elution systems. Additionally, we focused on evaluating these extracts’ anxiolytic- and antidepressant-like effects in behavioral predictive paradigms in mice. According to direct Principal Component Analysis (PCA) by NMR, and Direct Injection Electrospray Ionization-Mass Spectrometry (DIESI-MS), methanol extracts obtained after resin treatment were free of coumarin compounds and evinced had a high content of naringin. Poncirin, phenylalanine, chrysin 5,7-dimethyl ether, 5,7-dimethoxy-4′-hydroxyflavanone, 2,3-dihydro-2-(4-hydroxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one, tetrahydrocurcumin, corchoionoside C, 6′-coumaroyl-1′-O-[2-(3,4-dihydroxyphenyl) ethyl]-β-D-glucopyranoside were also detected. Naringin-rich methanol extract caused a clear anxiolytic-like effect in the Elevated Plus Maze (EPM) and the Hole-Board (HBT) Tests, increasing oral doses of this extract did not produce a sedative effect. A single oral dose caused an antidepressant-like effect in the Tail Suspension Test (TST), while repeated administrations of the methanol extract elicited a robust antidepressant effect in the Forced Swimming Test (FST) in mice. Our evidence highlights the importance of bioprospecting studies of organic waste with therapeutic potentials, such as anxiety and depression disorders.;agroresidues | anxiety | depression | flavonoids | naringin | organic waste;0;1;repositoryvor;Green;CONACYT;317036;Consejo Nacional de Ciencia y Tecnología
8;2-s2.0-85143532459;10.3390/ani12233310;;;Meconium Aspiration Syndrome in Animal Models: Inflammatory Process, Apoptosis, and Surfactant Inactivation;re;Review;Mota-Rojas D.;"60172565;60025626;60019607;60014923;60001285;60000328";"Facultad de Estudios Superiores Cuautitlán;Universidad Autónoma del Estado de Morelos;Universidad Autónoma de Tamaulipas;Universidad Autónoma Metropolitana;Escuela de Medicina y Ciencias de la Salud TecSalud;Hospital Infantil de Mexico Federico Gomez";"Cuautitlan Izcalli;Cuernavaca;Ciudad Victoria;Mexico City;Monterrey;Mexico City";"Mexico;Mexico;Mexico;Mexico;Mexico;Mexico";10;"Mota-Rojas, Daniel;Villanueva-García, Dina;Mota-Reyes, Andrea;Orihuela, Agustín;Hernández-Ávalos, Ismael;Domínguez-Oliva, Adriana;Casas-Alvarado, Alejandro;Flores-Padilla, Karla;Jacome-Romero, Joseline;Martínez-Burnes, Julio";"6506739367;9041700200;57441302400;7003430617;57214934466;57223116454;57216196260;57224397948;57925823500;6603432183";"60014923;60000328;60001285;60025626;60172565;60014923;60014923;60014923;60014923;60019607";2022-12-01;December 2022;Animals;;21100244850;20762615;Journal;12;23;3310;;Meconium Aspiration Syndrome is a condition that causes respiratory distress in newborns due to occlusion and airway inflammation, and surfactant inactivation by meconium. This condition has been described in animal species such as canids, sheep, cattle, horses, pigs, and marine mammals. In its pathogenesis, the pulmonary epithelium activates a limited inflammatory response initiated by cytokines causing leukocyte chemotaxis, inhibition of phagocytosis, and pathogen destruction. Likewise, cytokines release participates in the apoptosis processes of pneumocytes due to the interaction of angiotensin with cytokines and the caspase pathway. Due to these reactions, the prevalent signs are lung injury, hypoxia, acidosis, and pneumonia with susceptibility to infection. Given the importance of the pathophysiological mechanism of meconium aspiration syndrome, this review aims to discuss the relevance of the syndrome in veterinary medicine. The inflammatory processes caused by meconium aspiration in animal models will be analyzed, and the cellular apoptosis and biochemical processes of pulmonary surfactant inactivation will be discussed.;animal models | apoptosis | meconium | pulmonary inflammatory response | surfactant inactivation;0;1;repositoryvor;Green;;undefined;
9;2-s2.0-85140924544;10.1016/j.sajb.2022.10.031;S0254629922005646;;In vitro seed germination and acclimatization of Encyclia cordigera (Kunth) Dressler;ar;Article;Baltazar-Bernal O.;"60028381;60007909;60005234";"Universidad Autónoma Metropolitana -Unidad Iztapalapa;Universidad Veracruzana;Colegio de Postgraduados, Campus Cordoba";"Iztapalapa;Xalapa;Cordoba";"Mexico;Mexico;Mexico";4;"Baltazar-Bernal, O.;De la Cruz-Martínez, V. M.;Ramírez-Mosqueda, M. A.;Zavala-Ruiz, J.";"51664522800;57947702700;56845638500;56182475000";"60005234;60007909;60007909;60028381";2022-12-01;December 2022;South African Journal of Botany;02546299;17257;;Journal;151;;;578-582;Encyclia cordigera is a Mexican native orchid, of major ornamental importance due to its beautiful and fragrant flowers. The said characteristics also create a risk for the extinction of the species, thus, the urgent necessity to stablish propagation strategies to prevent its loss. The objective of this study was to establish a protocol for asymbiotic seed germination and acclimatization of E. cordigera. For asymbiotic germination, different concentrations (¼ and ½ and full-strength) of MS medium were evaluated, adding 0.15% of activated charcoal (AC). MS medium without AC was used as a control treatment. The germination percentage was evaluated after 16 weeks of culture. The treatments used for the germination stage were also used for the development of seedlings which lasted 20 weeks, then plant length, number of roots, root length, number of shoots, and number of leaves per shoot were measured. Finally, the plants obtained were acclimatized. The ½-strength MS + 0.15% AC resulted in 100% seed germination, while ¼-strength MS + 0.15% AC yielded longer seedlings (1.53 cm long). As for the number and length of roots, MS + 0.15% AC proved to be the best medium, with 2 roots and 2 cm respectively. No significant differences between culture media were found for the number of shoots and number of leaves per shoot. The plants obtained were transferred to an acclimatization process for eight weeks in the greenhouse, 209 plants (97% survival rate) were obtained during the acclimatization process. The presented protocols will contribute to the propagation and conservation of E. cordigera, an orchid species with ornamental and economic importance.;Activated charcoal | Asymbiotic germination | Mexican native orchid | Micropropagation;0;0;;;;undefined;
